Running for 2280.0 seconds (4560 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts  soc-th cpu-th
14:48:42   0.0   0.0   0.0 100.0   0.0    1    838    594   0.00E  45.00  45.00
14:48:43   0.5   0.0   0.0  99.5   0.0    1    204    194   0.00E  45.00  45.00
14:48:43   0.0   0.0   0.0 100.0   0.0    1    154    128   0.00E  45.00  45.00
14:48:44   8.5   0.0  10.1  64.0  17.5    3  23714  17530   0.00E  46.00  45.00
14:48:44  10.7   0.0   7.5  70.1  11.8    2  33764  25408   0.00E  46.00  45.00
14:48:45   2.1   0.0   4.2  93.2   0.5    1  31622  24754   0.00E  46.00  46.00
14:48:45   2.1   0.0   4.7  93.2   0.0    2  30686  23064   0.00E  46.00  46.00
14:48:46  22.4   0.0   8.2  67.9   1.5    2  36262  25068   0.00E  47.00  46.00
14:48:46  22.5   0.0  13.6  63.9   0.0    1  35760  24148   0.00E  48.00  46.00
14:48:47  21.8   0.0   4.8  73.4   0.0    1  36470  26116   0.00E  47.00  46.00
14:48:47  18.9   0.0   4.4  76.7   0.0    1  37138  27574   0.00E  47.00  47.00
14:48:48  20.2   0.0   6.4  73.4   0.0    1  36574  25210   0.00E  47.00  47.00
14:48:48  20.7   0.0   5.3  73.9   0.0    1  36092  25548   0.00E  48.00  47.00
14:48:49  20.3   0.0   3.3  76.4   0.0    1  36406  25920   0.00E  48.00  47.00
14:48:49  19.6   0.0   5.4  75.0   0.0    1  35872  24986   0.00E  48.00  47.00
14:48:50  18.8   0.0   3.9  77.3   0.0    1  36292  27012   0.00E  48.00  47.00
14:48:50  20.9   0.0   2.2  76.9   0.0    1  35620  24908   0.00E  48.00  47.00
14:48:51  19.6   0.0   3.4  77.1   0.0    1  36086  25374   0.00E  48.00  47.00
14:48:51  22.0   0.0   7.1  70.9   0.0    2  36932  25302   0.00E  49.00  47.00
14:48:52  20.7   0.0   6.1  73.2   0.0    1  36772  26042   0.00E  48.00  48.00
14:48:52  20.9   0.0   2.7  76.4   0.0    1  37178  26512   0.00E  48.00  47.00
14:48:53  20.9   0.0   5.3  73.8   0.0    2  36172  25252   0.00E  48.00  48.00
14:48:53  18.1   0.0   4.9  76.9   0.0    1  36544  24874   0.00E  49.00  47.00
14:48:54  20.3   0.0   7.8  71.9   0.0    1  36612  26284   0.00E  48.00  48.00
14:48:54  22.4   0.0   5.2  71.9   0.5    1  35902  26112   0.00E  49.00  48.00
14:48:55  22.8   0.0   7.2  70.0   0.0    2  37550  26062   0.00E  49.00  48.00
14:48:55  17.3   0.0   6.5  76.2   0.0    1  35632  25456   0.00E  48.00  48.00
14:48:56  16.3   0.0   7.1  73.4   3.3    2  36702  28044   0.00E  49.00  48.00
14:48:56  17.9   0.0   6.0  76.1   0.0    2  36452  25614   0.00E  49.00  48.00
14:48:57  25.4   0.0  11.6  63.0   0.0    3  37076  24594   0.00E  49.00  48.00
14:48:57  23.9   0.0   8.2  67.9   0.0    2  38704  25802   0.00E  49.00  48.00
14:48:58  24.7   0.0   5.8  69.5   0.0    2  35900  25090   0.00E  49.00  48.00
14:48:58  19.1   0.0   6.4  74.5   0.0    2  36110  25350   0.00E  49.00  48.00
14:48:59  19.6   0.0   4.9  75.5   0.0    2  36664  26420   0.00E  49.00  48.00
14:48:59  14.9   0.0   5.9  79.3   0.0    2  29200  21456   0.00E  49.00  48.00
14:49:00   0.0   0.0   0.0 100.0   0.0    1    244    222   0.00E  48.00  48.00
14:49:00   0.5   0.0   0.0  99.5   0.0    1    410    322   0.00E  48.00  47.00
14:49:01   0.0   0.0   0.5  99.5   0.0    1    126    110   0.00E  48.00  48.00
14:49:01   0.0   0.0   0.0 100.0   0.0    1    100    102   0.00E  48.00  48.00
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts  soc-th cpu-th
14:49:02   2.5   0.0   5.5  92.0   0.0    2    972    812   0.00E  48.00  48.00
14:49:02   0.5   0.0   1.5  98.0   0.0    2   2196   2020   0.00E  47.00  47.00
14:49:03   0.0   0.0   0.0 100.0   0.0    1    464    366   0.00E  47.00  47.00
14:49:03   0.0   0.0   0.5  99.5   0.0    1    356    290   0.00E  47.00  47.00
14:49:04   0.0   0.0   0.5  99.5   0.0    1    344    296   0.00E  47.00  47.00
14:49:04   0.0   0.0   0.0 100.0   0.0    1    450    374   0.00E  47.00  47.00
14:49:05   0.0   0.0   0.0 100.0   0.0    1    244    216   0.00E  47.00  47.00
14:49:05   0.0   0.0   0.5  99.5   0.0    2    672    540   0.00E  47.00  47.00
14:49:06   0.0   0.0   0.5  99.5   0.0    1    162    144   0.00E  47.00  46.00
14:49:06   0.0   0.0   0.0 100.0   0.0    1    346    322   0.00E  47.00  47.00
14:49:07   0.0   0.0   0.5  99.5   0.0    2    190    186   0.00E  47.00  47.00
14:49:07   3.0   0.0   6.1  90.9   0.0    2   2314   1724   0.00E  47.00  46.00
14:49:08   0.0   0.0   0.5  99.5   0.0    1    366    322   0.00E  47.00  46.00
14:49:08   0.0   0.0   0.0 100.0   0.0    1    180    184   0.00E  47.00  47.00
14:49:09   0.0   0.0   0.5  99.5   0.0    1    116    122   0.00E  47.00  46.00
14:49:09   0.0   0.0   0.0 100.0   0.0    1    110    124   0.00E  47.00  46.00
14:49:10   0.0   0.0   0.0 100.0   0.0    1    128    114   0.00E  47.00  46.00
14:49:10   0.0   0.0   0.5  99.5   0.0    2    210    190   0.00E  47.00  46.00
14:49:11   0.0   0.0   0.0 100.0   0.0    2    130    120   0.00E  47.00  46.00
14:49:11   0.0   0.0   0.5  99.0   0.5    2    332    268   0.00E  46.00  46.00
14:49:12   0.5   0.0   0.0  99.5   0.0    1    790    634   0.00E  47.00  46.00
14:49:12   2.0   0.0   4.6  93.4   0.0    2   1758   1534   0.00E  47.00  47.00
14:49:13   1.5   0.0   2.5  96.0   0.0    2   1154    946   0.00E  47.00  46.00
14:49:13   0.0   0.0   0.0 100.0   0.0    1    388    342   0.00E  46.00  46.00
14:49:14   0.0   0.0   0.5  99.5   0.0    1    148    178   0.00E  46.00  46.00
14:49:14   0.0   0.0   0.0 100.0   0.0    1    110    104   0.00E  46.00  46.00
14:49:15   0.0   0.0   0.0 100.0   0.0    1     74     80   0.00E  46.00  46.00
14:49:15   0.0   0.0   0.5  99.5   0.0    1    148    130   0.00E  46.00  46.00
14:49:16   0.0   0.0   0.0 100.0   0.0    2    114    110   0.00E  47.00  46.00
14:49:16   0.0   0.0   0.0 100.0   0.0    1    136    122   0.00E  46.00  46.00
14:49:17   0.0   0.0   0.5  99.0   0.5    2    160    138   0.00E  47.00  46.00
14:49:17   0.0   0.0   0.0 100.0   0.0    1    886    852   0.00E  46.00  46.00
14:49:18   2.0   0.0   6.6  91.3   0.0    2   1102   1012   0.00E  47.00  47.00
14:49:18   0.5   0.0   0.0  99.5   0.0    1    438    310   0.00E  47.00  47.00
14:49:19   0.0   0.0   0.5  99.5   0.0    1     70     72   0.00E  46.00  46.00
14:49:19   0.0   0.0   0.0 100.0   0.0    2    142    132   0.00E  47.00  46.00
14:49:20   0.5   0.0   0.0  99.5   0.0    1     94     86   0.00E  46.00  46.00
14:49:20   0.0   0.0   0.0 100.0   0.0    2    112     96   0.00E  46.00  46.00
14:49:21   0.0   0.0   0.5  99.5   0.0    1     96     88   0.00E  46.00  46.00
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts  soc-th cpu-th
14:49:21   0.0   0.0   0.0 100.0   0.0    2    118    122   0.00E  47.00  46.00
14:49:22   0.0   0.0   0.5  99.5   0.0    1    176    142   0.00E  46.00  46.00
14:49:22   0.0   0.0   0.5  99.5   0.0    1    420    330   0.00E  47.00  46.00
14:49:23   3.0   0.0   4.0  92.9   0.0    2    722    658   0.00E  47.00  47.00
14:49:23   1.0   0.0   2.0  96.5   0.5    2    620    502   0.00E  47.00  46.00
14:49:24   0.0   0.0   0.0 100.0   0.0    1     90     94   0.00E  46.00  46.00
14:49:24   0.0   0.0   0.5  99.5   0.0    1    428    304   0.00E  46.00  46.00
14:49:25   0.0   0.0   0.0 100.0   0.0    1     72     90   0.00E  46.00  46.00
14:49:25   0.0   0.0   0.5  99.5   0.0    2    106    100   0.00E  46.00  46.00
14:49:26   0.0   0.0   0.0 100.0   0.0    2    102    104   0.00E  47.00  46.00
14:49:26   0.0   0.0   0.0 100.0   0.0    2    120    112   0.00E  46.00  46.00
14:49:27   0.5   0.0   0.5  97.0   2.0    1   1018    732   0.00E  46.00  46.00
14:49:27   0.0   0.0   0.0 100.0   0.0    2   1302    976   0.00E  46.00  46.00
14:49:28   0.0   0.0   0.5  99.5   0.0    1    252    216   0.00E  46.00  46.00
14:49:28   3.5   0.0   6.1  90.4   0.0    2   1032    926   0.00E  46.00  46.00
14:49:29   0.5   0.0   0.0  99.0   0.5    1    154    136   0.00E  47.00  46.00
14:49:29   0.0   0.0   0.0 100.0   0.0    1    132    118   0.00E  46.00  46.00
14:49:30   0.0   0.0   0.0 100.0   0.0    1     94     90   0.00E  46.00  46.00
14:49:30   0.0   0.0   0.5  99.5   0.0    1    394    276   0.00E  46.00  46.00
14:49:31   0.0   0.0   0.0 100.0   0.0    2    224    252   0.00E  46.00  46.00
14:49:31   0.0   0.0   0.0 100.0   0.0    2    150    144   0.00E  47.00  46.00
14:49:32   0.0   0.0   0.0 100.0   0.0    1    194    136   0.00E  46.00  46.00
14:49:32   0.0   0.0   0.0 100.0   0.0    2    706    460   0.00E  46.00  46.00
14:49:33   0.0   0.0   0.5  99.5   0.0    1    218    176   0.00E  47.00  46.00
14:49:33   2.0   0.0   5.0  93.0   0.0    2    656    606   0.00E  47.00  46.00
14:49:34   0.5   0.0   3.0  96.5   0.0    1    504    464   0.00E  47.00  46.00
14:49:34   0.0   0.0   0.0 100.0   0.0    1    194    174   0.00E  47.00  46.00
14:49:35   0.0   0.0   0.0 100.0   0.0    1    100     94   0.00E  46.00  46.00
14:49:35   0.0   0.0   0.5  99.5   0.0    1    134    122   0.00E  46.00  46.00
14:49:36   0.0   0.0   0.0 100.0   0.0    1    100     98   0.00E  46.00  46.00
14:49:36   0.5   0.0   0.5  98.5   0.5    1    452    320   0.00E  46.00  46.00
14:49:37   0.0   0.0   0.0 100.0   0.0    1    228    200   0.00E  47.00  46.00
14:49:37   0.0   0.0   0.0 100.0   0.0    1    646    446   0.00E  46.00  46.00
14:49:38   0.0   0.0   0.0 100.0   0.0    1    234    170   0.00E  47.00  46.00
14:49:38   0.0   0.0   0.0 100.0   0.0    1    102    104   0.00E  46.00  46.00
14:49:39   2.0   0.0   7.6  90.4   0.0    1    998    918   0.00E  47.00  46.00
14:49:39   0.0   0.0   0.0 100.0   0.0    2     86     90   0.00E  47.00  46.00
14:49:40   0.0   0.0   0.0 100.0   0.0    1    128    122   0.00E  46.00  46.00
14:49:40   0.5   0.0   0.0  99.5   0.0    1     82     82   0.00E  46.00  46.00
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts  soc-th cpu-th
14:49:41   0.0   0.0   0.0 100.0   0.0    1    148    144   0.00E  46.00  46.00
14:49:41   0.0   0.0   0.0 100.0   0.0    1    142    124   0.00E  47.00  46.00
14:49:42   0.0   0.0   0.0  99.5   0.5    1    186    140   0.00E  47.00  46.00
14:49:42   0.5   0.0   0.5  99.0   0.0    1    532    360   0.00E  46.00  46.00
14:49:43   0.0   0.0   0.5  99.5   0.0    1    340    254   0.00E  46.00  46.00
14:49:43   0.0   0.0   0.0 100.0   0.0    1     96     92   0.00E  47.00  46.00
14:49:44   2.0   0.0   5.0  93.0   0.0    3    712    636   0.00E  47.00  46.00
14:49:44   0.5   0.0   2.0  97.5   0.0    2    432    378   0.00E  47.00  46.00
14:49:45   0.0   0.0   0.0 100.0   0.0    1    124    118   0.00E  46.00  46.00
14:49:45   0.0   0.0   0.0 100.0   0.0    1    136    120   0.00E  47.00  46.00
14:49:46   0.0   0.0   0.5  99.5   0.0    1    112    112   0.00E  46.00  46.00
14:49:46   0.0   0.0   0.0 100.0   0.0    1    118    114   0.00E  46.00  46.00
14:49:47   0.0   0.0   0.0 100.0   0.0    1    142    122   0.00E  47.00  46.00
14:49:47   0.5   0.0   0.5  99.0   0.0    1   1360   1296   0.00E  47.00  46.00
14:49:48   0.0   0.0   0.0 100.0   0.0    1    260    198   0.00E  47.00  46.00
14:49:48   0.0   0.0   0.5  99.5   0.0    1    380    272   0.00E  46.00  46.00
14:49:49   0.0   0.0   0.0 100.0   0.0    1    140    142   0.00E  47.00  46.00
14:49:49   4.1   0.0   5.1  90.9   0.0    2    968    916   0.00E  47.00  46.00
14:49:50   0.0   0.0   0.0 100.0   0.0    1    132    114   0.00E  47.00  46.00
14:49:50   0.0   0.0   0.0 100.0   0.0    1    112    102   0.00E  47.00  46.00
14:49:51   0.0   0.0   0.0 100.0   0.0    1    134    122   0.00E  47.00  46.00
14:49:51   0.0   0.0   0.5  99.5   0.0    1    136    142   0.00E  47.00  46.00
14:49:52   0.0   0.0   0.0 100.0   0.0    1    156    146   0.00E  46.00  46.00
14:49:52   0.0   0.0   0.5  99.0   0.5    1   1288   1078   0.00E  46.00  46.00
14:49:53   0.0   0.0   0.0 100.0   0.0    1    252    200   0.00E  47.00  46.00
14:49:53   0.5   0.0   0.0  99.5   0.0    1     96    106   0.00E  46.00  46.00
14:49:54   0.0   0.0   0.0 100.0   0.0    1    186    166   0.00E  47.00  46.00
14:49:54   3.5   0.0   4.0  92.5   0.0    2    902    750   0.00E  47.00  46.00
14:49:55   1.0   0.0   1.5  97.5   0.0    2    470    444   0.00E  47.00  47.00
14:49:55   0.0   0.0   0.0 100.0   0.0    1    120    116   0.00E  46.00  46.00
14:49:56   0.0   0.0   0.5  99.5   0.0    1    120    122   0.00E  47.00  46.00
14:49:56   0.0   0.0   0.0 100.0   0.0    1    114    114   0.00E  46.00  46.00
14:49:57   0.0   0.0   0.0 100.0   0.0    1    100     96   0.00E  47.00  47.00
14:49:57   0.0   0.0   0.5  99.5   0.0    1   1220    726   0.00E  47.00  46.00
14:49:58   0.0   0.0   0.0 100.0   0.0    1    202    144   0.00E  46.00  46.00
14:49:58   0.0   0.0   0.5  99.5   0.0    1    128    138   0.00E  47.00  46.00
14:49:59   0.0   0.0   0.0 100.0   0.0    1    814    988   0.00E  47.00  46.00
