 Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts  soc-th cpu-th
09:55:35   0.0   0.0   0.5  99.5   0.0    1   1056    976   0.00E  45.00  45.00
09:55:35   0.5   0.0   0.0  99.5   0.0    1    268    214   0.00E  45.00  45.00
09:55:36   0.0   0.0   0.0 100.0   0.0    1     78     86   0.00E  45.00  45.00
09:55:36   4.6   0.0   8.6  79.7   7.1    2   7310   5304   0.00E  46.00  45.00
09:55:37  10.8   0.0  10.8  68.7   9.7    1  33820  23700   0.00E  46.00  45.00
09:55:37   2.6   0.0   4.7  92.1   0.5    1  31528  22472   0.00E  46.00  45.00
09:55:38   1.0   0.0   6.6  91.3   1.0    2  31316  24590   0.00E  46.00  45.00
09:55:38   8.2   0.0   6.0  85.8   0.0    1  35836  24250   0.00E  46.00  46.00
09:55:39   7.6   0.0   6.0  86.4   0.0    1  36128  24566   0.00E  46.00  45.00
09:55:39   6.0   0.0   7.6  86.4   0.0    1  37274  26384   0.00E  46.00  46.00
09:55:40   9.1   0.0   5.9  85.0   0.0    2  37812  25506   0.00E  46.00  46.00
09:55:40  10.2   0.0   4.3  85.5   0.0    1  36694  25288   0.00E  46.00  46.00
09:55:41   9.2   0.0   5.4  85.4   0.0    1  36502  25838   0.00E  47.00  46.00
09:55:41  11.0   0.0   6.3  82.7   0.0    1  36472  24126   0.00E  46.00  46.00
09:55:42  10.1   0.0   5.9  83.5   0.5    1  37222  25730   0.00E  47.00  46.00
09:55:42  10.8   0.0   3.2  86.0   0.0    1  36314  24508   0.00E  47.00  46.00
09:55:43  10.8   0.0   3.8  85.5   0.0    1  36746  24994   0.00E  46.00  46.00
09:55:43   9.7   0.0   4.3  85.9   0.0    1  36118  25878   0.00E  47.00  46.00
09:55:44  11.1   0.0   5.8  83.2   0.0    1  36264  26646   0.00E  47.00  46.00
09:55:44  10.2   0.0   4.8  85.0   0.0    1  36646  25660   0.00E  47.00  46.00
09:55:45  11.8   0.0   3.7  84.5   0.0    1  37488  27100   0.00E  47.00  46.00
09:55:45  10.2   0.0   4.3  85.5   0.0    2  36146  26638   0.00E  47.00  46.00
09:55:46  10.6   0.0   5.3  84.0   0.0    1  36202  24014   0.00E  47.00  46.00
09:55:46  10.2   0.0   4.3  85.5   0.0    2  35594  25392   0.00E  47.00  46.00
09:55:47  10.6   0.0   5.8  83.6   0.0    1  36324  26116   0.00E  47.00  47.00
09:55:47  10.6   0.0   5.8  83.6   0.0    1  36354  27538   0.00E  47.00  46.00
09:55:48  10.6   0.0   4.8  84.6   0.0    1  35834  25756   0.00E  47.00  47.00
09:55:48   9.5   0.0   6.8  83.7   0.0    1  35940  24662   0.00E  47.00  47.00
09:55:49  11.6   0.0   4.2  84.1   0.0    1  36796  25848   0.00E  47.00  47.00
09:55:49  12.2   0.0   3.7  84.0   0.0    1  36098  24516   0.00E  47.00  47.00
09:55:50   9.4   0.0   7.9  82.7   0.0    1  37114  25718   0.00E  47.00  47.00
09:55:50   8.9   0.0   7.9  83.2   0.0    1  36420  26922   0.00E  47.00  47.00
09:55:51  10.3   0.0   3.8  85.9   0.0    1  36744  26592   0.00E  47.00  47.00
09:55:51  10.6   0.0   5.3  84.0   0.0    1  36070  25250   0.00E  47.00  47.00
09:55:52   9.2   0.0   5.4  85.4   0.0    1  35834  24104   0.00E  47.00  47.00
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts  soc-th cpu-th
09:55:52   3.7   0.0   3.2  93.2   0.0    2  17092  11360   0.00E  47.00  46.00
09:55:53   0.0   0.0   0.5  99.0   0.5    1    274    220   0.00E  47.00  47.00
09:55:53   0.0   0.0   0.5  99.5   0.0    1    234    234   0.00E  47.00  46.00
09:55:54   0.5   0.0   0.0  99.5   0.0    1    162    138   0.00E  47.00  46.00
09:55:54   0.0   0.0   0.5  99.5   0.0    1    230    172   0.00E  47.00  46.00
09:55:55   0.0   0.0   0.5  99.5   0.0    1   1830   1640   0.00E  46.00  46.00
09:55:55   0.5   0.0   0.0  99.5   0.0    1    238    182   0.00E  46.00  46.00
09:55:56   0.0   0.0   0.5  99.5   0.0    1    432    410   0.00E  46.00  46.00
09:55:56   0.0   0.0   0.0 100.0   0.0    1     88    106   0.00E  46.00  46.00
09:55:57   0.0   0.0   0.5  99.5   0.0    1    184    154   0.00E  46.00  46.00
09:55:57   0.0   0.0   0.0 100.0   0.0    1    116    134   0.00E  46.00  46.00
09:55:58   0.0   0.0   0.5  99.5   0.0    1    148    136   0.00E  46.00  46.00
09:55:58   0.0   0.0   0.5  99.5   0.0    1    110     98   0.00E  46.00  46.00
09:55:59   0.5   0.0   0.0  99.0   0.5    1    158    120   0.00E  46.00  45.00
09:55:59   0.0   0.0   0.5  99.5   0.0    1    338    258   0.00E  46.00  46.00
09:56:00   0.0   0.0   0.5  99.5   0.0    1    634    418   0.00E  46.00  45.00
09:56:00   0.0   0.0   0.0 100.0   0.0    1    256    198   0.00E  46.00  46.00
09:56:01   0.0   0.0   0.5  99.5   0.0    1    146    146   0.00E  46.00  45.00
09:56:01   0.0   0.0   0.5  99.5   0.0    1    108    110   0.00E  46.00  45.00
09:56:02   0.5   0.0   0.5  99.0   0.0    1    428    406   0.00E  46.00  45.00
09:56:02   0.0   0.0   0.5  99.5   0.0    1    110    120   0.00E  46.00  45.00
09:56:03   0.0   0.0   0.0 100.0   0.0    1    224    186   0.00E  46.00  45.00
09:56:03   0.0   0.0   0.5  99.5   0.0    1    176    156   0.00E  45.00  45.00
09:56:04   0.0   0.0   0.5  99.5   0.0    1    272    218   0.00E  46.00  46.00
09:56:04   0.5   0.0   0.0  99.5   0.0    1    140    146   0.00E  46.00  45.00
09:56:05   0.0   0.0   1.0  99.0   0.0    1    548    342   0.00E  45.00  45.00
09:56:05   0.0   0.0   0.0 100.0   0.0    1    226    174   0.00E  45.00  45.00
09:56:06   0.0   0.0   0.5  99.5   0.0    1    146    126   0.00E  46.00  45.00
09:56:06   0.0   0.0   0.5  99.5   0.0    1     92    108   0.00E  45.00  46.00
09:56:07   0.5   0.0   0.0  99.5   0.0    1    148    140   0.00E  45.00  45.00
09:56:07   0.0   0.0   0.5  99.5   0.0    1    140    140   0.00E  46.00  45.00
09:56:08   0.0   0.0   0.5  99.5   0.0    1    504    346   0.00E  45.00  45.00
09:56:08   0.0   0.0   0.0 100.0   0.0    1    116    126   0.00E  46.00  45.00
09:56:09   0.0   0.0   0.5  99.5   0.0    1    156    164   0.00E  45.00  45.00
09:56:09   0.0   0.0   0.5  99.0   0.5    1    228    208   0.00E  45.00  45.00
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts  soc-th cpu-th
09:56:10   0.0   0.0   0.0 100.0   0.0    1    128    142   0.00E  45.00  45.00
09:56:10   0.0   0.0   0.5  99.5   0.0    1    244    192   0.00E  45.00  45.00
09:56:11   0.0   0.0   0.5  99.5   0.0    1    140    138   0.00E  45.00  45.00
09:56:11   0.0   0.0   0.0 100.0   0.0    1    144    140   0.00E  45.00  45.00
